'TOTAL_NUMBER_OF_WORKERS', 'SUM_OF_TIME_TAKEN', 'TIME_TAKEN_TO_RUN', 'AVG_CC'
1, 0, 3.58337187767, 86
2, 0, 2.26879811287, 86
3, 0, 1.83755898476, 86
4, 0, 1.78374195099, 86
5, 0, 1.79878115654, 86
6, 0, 1.73757410049, 86
7, 0, 1.76003193855, 86
8, 0, 1.81830620766, 86
9, 0, 1.77935695648, 86
10, 0, 1.85826587677, 86
11, 0, 1.67640900612, 86
12, 0, 1.79525995255, 86
13, 0, 1.87682199478, 86
14, 0, 1.93357801437, 86
15, 0, 1.73559093475, 86
16, 0, 1.88156294823, 86
17, 0, 1.88256716728, 86
19, 0, 1.93176579475, 86
20, 0, 2.10896086693, 86
